Industry,count
Computing or Tech,4787
Education (Higher Education),2555
Nonprofits,2424
Health care,2240
Government and Public Administration,2189
"Accounting, Banking & Finance",1829
Engineering or Manufacturing,1799
"Marketing, Advertising & PR",1164
Law,1144
Business or Consulting,904
Media & Digital,864
Education (Primary/Secondary),843
Insurance,533
Retail,524
Property or Construction,499
Recruitment or HR,466
Utilities & Telecommunications,430
Art & Design,397
Transport or Logistics,319
Sales,291
Hospitality & Events,286
Social Work,274
Entertainment,272
Agriculture or Forestry,139
"Leisure, Sport & Tourism",106
Research,40
Scientific Research,21
Environmental,17
Translation,16
Science,16
Veterinary,14
Philanthropy,13
Politics,10
Mining,9
Clinical Research,8
Consumer Goods,7
International Development,7
Communications,7
Life Sciences,7
Customer Service,6
Trade Association,6
Consumer Packaged Goods,6
Student,6
Childcare,6
Research & Development,6
Archives,5
Labor Union,5
Cannabis,5
Science Research,5
Clergy,4
Research And Development,4
Food,4
Professional Services,4
Aerospace,4
Military,4
Scientist,4
Research Science,4
Environmental Science,4
Fundraising,4
Training,4
Auto Repair,3
Aviation,3
Environment,3
Ministry,3
Compliance,3
Chemistry,3
Warehouse,3
Food Industry,3
Environmental Compliance,3
Wholesale Distribution,3
Zoo,3
Apparel,3
Food & Beverage,3
Distribution,3
Mortgage,3
Political Campaigns,3
Sales Operations,3
Urban Planning,3
Plumbing,2
Think Tank,2
Administration,2
Accessibility,2
Religion,2
Food Production,2
Printing,2
Research Institute,2
Internet,2
Association Management,2
Natural Resources,2
Fashion,2
Call Center,2
Facilities,2
Private Equity,2
Veterinary Care,2
Heritage,2
Fast Food,2
Funeral Services,2
Purchasing,2
Food And Beverage,2
Scientific,2
Benefits Administration,2
Church,2
Animal Care,2
Beverage,2
Non Profit Theater,2
Auction House,2
Executive Search,2
Travel,2
Environmental Sciences,2
Corporate Sustainability,2
Warehousing,2
Funeral Service,2
Child Care,2
It Security,2
Aerospace/Aviation,2
Automotive Repair,2
Psychology,2
Food Processing,2
Product Management,2
Organized Labor,2
Science Academia,2
Procurement,2
Funeral,2
Beauty,2
Food Distribution,2
Family Office,2
Grocery Distribution,2
Project Management,2
Politics/Campaigns,2
Security,2
Social Research,2
Stem Research,2
Phd,2
Surveying,2
Study,1
Environmental Regulation,1
Pet Care Industry (Dog Training/Walking),1
Archaeology / Cultural Resource Management,1
Software As A Service Saas,1
B2B Services,1
Food Production/Processing,1
Space,1
International Development (Multilateral Donor),1
Trade Association/Membership,1
Work-Study,1
Learning & Development,1
Child And Yout Care,1
Virtual Assisting,1
Archaeology/Cultural Resource Manager,1
Consumer Food Products,1
Rural Electrification,1
Online Learning,1
Enviromental,1
Sailing Instructor,1
Govt Contractor - Not Directly Govt But They Pay Me,1
Laundry And Rental,1
Organizational Development,1
Skilled Trade,1
Trade Associations,1
Interior Landscaping,1
Delivery And Installation For Commercial Machinery,1
Ecommerce Fraud,1
Hro,1
Workforce Development,1
Information Sciences,1
Food And Flavor,1
Aerospace Data,1
Science/Research,1
Environmental/Cultural Resource Management,1
Wholesale - Apparel,1
Fire Protection,1
Gambling,1
Archaeology,1
"Sign Language Interpreter, Community",1
Mining/Resource Extraction,1
Information Services,1
Food & Beverage Production,1
Food And Drink,1
Esl Teacher,1
Research & Development (Physical Sciences),1
Pet Care/Grooming,1
Industrial Hygiene,1
Political Campaign,1
Fmcg,1
Research Administration,1
Eap,1
Automtive Repair,1
Community Foundation,1
Cultural Resources Management/Major Univ.,1
Veterinarian,1
Actuarial,1
Telecommunications (Gps),1
Food Demos,1
Physical Sciences,1
Staffing Industrry,1
Payroll Software,1
Life Science Capability Development,1
Consumer Good (Toys),1
Mining/Mineral Exploration,1
Corporate Learning And Development,1
Saas Company/Software,1
Beauty /Cpg,1
Entrepreneur High Net Worth,1
Research At A National Laboratory,1
Cultural Heritage,1
Wholesale/Distrbution,1
Consumer Goods Production,1
Cosmetology,1
Political Campaigning,1
Housekeeper/Cook,1
Nuclear Research,1
Scientific R&D,1
Pet,1
Religious Institute,1
Daycare For Children Under 5 Years Old,1
Wholesale Supplier,1
Commercial Furniture,1
Global Mobility,1
Luxury Fashion,1
Data Entry,1
Gaming (Gambling),1
Regulatory Affairs- Nutraceuticals,1
Household Services,1
Professional Training,1
Contract Research,1
Tailoring Service,1
Waste And Recycling,1
Consumer Products,1
Veterinary Services,1
Wherever I'M Assigned Via The Union,1
Faith/Spirituality,1
Awards And Engraving,1
Learning And Development,1
Data Analytics,1
Religious (Church),1
Direct Support  Professional  In A Group  Home,1
E-Learning,1
Program Management,1
Wine Importing/Distribution,1
Laboratory Research,1
I Work For Indeed.Com,1
Geospatial,1
Science/Research (Academia),1
Music Therapy,1
Children'S Book Wholesale,1
Training And Professional Services,1
Science And Reasearch,1
"My Company Sells & Services Various Types Of Printers, Mostly Kyocera.",1
Software/Programming,1
Airline,1
Beverage Production,1
Life Sciences (Not In Academia),1
Individual & Family Services,1
Outdoor Industry/Repair And Maintenance,1
National Laboratory,1
Analytical Lab,1
Disability Services,1
Analytics,1
Oceanography Research,1
Clinical & Translational Reserach,1
Veterinary Diagnostics,1
Customer Service/Call Center,1
Animal Caretaker,1
Unions,1
Food & Beverages,1
Shared Office Space,1
"Cancer Research, Not For Profit",1
Wholesale Trade,1
Theatre,1
Restoration,1
It Msp,1
Professional Regulation,1
Scientific Analysis,1
Low-Voltage Equipment,1
Stay-At-Home Parent,1
Commercial Building Material Distribution,1
Consumer Product Organization,1
"Research And Development, Food And Beverage",1
Chaplain,1
Science And Natural Resource Management,1
Caregiver,1
Food Service --- Baking,1
Beauty/Service Industry,1
Administrative Work,1
Landscaping/Tree Work,1
Counselling,1
Administration (Food Service),1
Brain Research,1
Wine,1
Protective Coatings,1
Database Subscription Services,1
Craft Beer Industry,1
Procurement/Sourcing/Operations,1
Environmental Planning,1
Print / Mail,1
Planning,1
Patent Translation,1
Religious Institution,1
Translation/Transcription,1
Subsidized Seniors Housing,1
State Dot,1
Analytical Chemistry,1
Labour/Professional Organization,1
Religion/Church,1
"Private Company, Federal Contractor",1
Church Ministry,1
Executive Leadership Servis,1
Corporate Travel Industry,1
Drug Development,1
Gyms,1
Horticulture (Admin),1
Summer Camp,1
Consumer Research,1
Govt Contractor - Not Direct Govt But They Pay My Company Who In Turn Pays Me,1
User Experience (Ux) Research,1
Contract Research Organisation,1
Coffee - Importing,1
Payment Processing,1
Wine Wholesale,1
Office Admin,1
Information,1
Beverage Distribution,1
Food & Nutrition,1
Corporate Service Management,1
Commodities Trading,1
Union/Political Organizing,1
Interpretation,1
Tabletop Gaming,1
Winery Regulatory Compliance,1
Administrative Support,1
Costruction Admin,1
Virtual Reality,1
Community Management,1
"Tic (Testing, Inspection & Certification)",1
Pet Care Industry,1
School District Pre-K-12,1
Science - Qc Lab,1
Pest Control,1
Science (Chemistry R&D),1
Mining & Mineral Processing,1
Private Investigator At Large Firm,1
Chemical,1
Concrete,1
Clinical Trials Research Coordination,1
Americorps,1
Vet,1
Beverage & Spirits,1
Outsourcing Services,1
Lobbying,1
Animal Welfare,1
Textbook Copyeditor,1
Janitorial,1
Auto Mfg.,1
Translation And Localization,1
International Organisations,1
Music,1
Consumer/Packaged Goods,1
Religious (Synagogue),1
Preclinical Research,1
Music Licensing,1
Operational Training,1
Sports,1
Renewable Fuels,1
International Organization (Un),1
"Beauty, Cosmetics, Fragrance",1
Parking,1
Language Services,1
Zoos And Aquariums,1
Toxicology,1
Academia / Research,1
Software Development / It,1
Commercial Landscaping,1
Labor,1
Child Care Resource And Referral Agency,1
Warehouse- Food And Beverage,1
Administrative,1
Forensics,1
Science (Laboratory),1
Communication Research,1
R&D,1
Association,1
Environmental Survey,1
Environmental Services,1
Research/Academia,1
Food Processing And Packaging,1
"Parks And Recreation, Land Management But With Customer Service Included",1
Private Sector Emergency Management,1
Consumer Product Goods,1
Clinical Trials,1
Conservation,1
Clinical Research And Development,1
Fmcg Development,1
Service,1
Veterinary M&A,1
Information Management/Archives,1
Strategy,1
Research/Social Science,1
Per Sitter,1
Pension Benefit Administration,1
Wholesale,1
Horticulture,1
Pet Care,1
Counseling,1
Economics,1
Software Development,1
Beer Sales,1
Grocery Delivery,1
Data Breach,1
Property Management,1
Religious,1
College Athletics,1
Ecology,1
E Commerce,1
Corporate Training,1
Print Distributor,1
Graduate Assistant And Also Events,1
Haz/Ind/Rad Waste Management,1
Staffing & Workforce Solutions,1
Buyer,1
Software Products,1
Research And Development Academia,1
Social Science,1
Operations,1
Repair Facility For Heavy Duty Trucks,1
Contact Center,1
Historic Preservation,1
"Diversity, Equity & Inclusion",1
Ipr,1
Petroleum,1
International Defence,1
Brewing,1
Staffing Firm,1
Commercial Fisherman,1
Sciences,1
Research And Evaluation,1
Intelligence,1
Storage Facility,1
Content Review - Copyright/Dmca,1
Wholesale Industrial & Welding Supplies & Equipment,1
Non-Profit Theatre,1
Survey Methodology,1
Staffing Agency,1
Undergrad Student,1
Aerospace Contracting,1
I'M Currently A Student And Don'T Have A Job,1
Wine & Spirits,1
Social Networks,1
Aba,1
Lifeguard,1
Landscaping,1
Culture,1
Wholesale Distribution B2B,1
Sourcing & Procurement,1
Professional Association,1
Academia - Stem,1
Scientific Research (Industry),1
Environmental Restoration,1
Research / Gov,1
Chemicals/ Materials,1
Social Sciences Research,1
Medcomms,1
Landscape Contracting,1
Cannabis Compliance,1
Investing,1
Mining And Natural Resources,1
Cultural Resource Management,1
Multilateral Organisation,1
Background Screening,1
Chemicals,1
Dod Contracting,1
Foodservice,1
Retired,1
Wealth Advisor Research,1
Coaching,1
"Administration, It",1
Not-For-Profit Membership Organization,1
Ux Research,1
Immigration,1
Office Administration,1
Emergency Management,1
State And Federal Contractor,1
Service And Repair,1
Specialist Clothing,1
Internal Communications,1
Waste Management,1
Rideshare,1
Cpg,1
Homemaker,1
Policy Research,1
Quality Assurance Laboratory,1
Maritime,1
Soldier,1
Maintenance,1
Cleaning,1
Forklift Operator Warehouse,1
Quality Assurance,1
Administration In Mlm,1
Regulatory Affairs,1
Environment And Sustainability,1
Political Research,1
Environmnetal,1
Literature,1
Animation,1
Graduate Student,1
Obligatory Military Service,1
Digital Commerce / Ecommerce,1
